respondent_id,age,region,wellbeing_before,wellbeing_after,date
ON071,26,Otago,3,2,05/03/2025
ON130,52,Auckland,3,4,2025-12-09
ON129,40,Wellington,6,5,01/10/2025
ON088,19,Canterbury,4,6,2025-03-10
ON062,28,Wellington,3,6,2025-10-18
ON010,,Canterbury,4,5,21/03/2025
ON134,53,Auckland,5,7,2025-08-07
ON004,50,AUCKLAND,5,4,05/08/2025
ON002,53,Canterbury,7,9,2025-02-10
ON059,55,Otago,6,8,2025-01-02
ON028,54,WAIKATO,7,8,04/03/2025
ON169,73,Canterbury,6,5,2025-10-24
ON034,63,Canterbury,3,4,10/02/2025
ON113,fifty-five,Canterbury,7,7,2025-06-28
ON085,20,Auckland,7,10,2025-06-23
ON163,24,CANTERBURY,3,3,2025-08-07
ON025,51,Canterbury,6,5,2025-05-27
ON063,35,Canterbury,3,3,16/04/2025
ON014,44,Waikato,6,5,2025-09-27
ON160,35,Canterbury,7,6,2025-05-13
ON120,22,Canterbury,6,5,02/02/2025
ON165,63,Canterbury,3,2,2025-02-03
ON008,45,Canterbury,4,6,21/02/2025
ON078,75,Waikato,4,3,2025-11-20
ON072,62,Wellington,4,6,2025-03-22
ON060,60,WELLINGTON,5,4,09/09/2025
ON070,61,Wellington,5,7,2025-04-05
ON171,26,Canterbury,3,6,2025-02-05
ON107,24,Otago,7,6,23/05/2025
ON128,73,Canterbury,6,9,25/01/2025
ON135,27,Wellington,7,7,15/02/2025
ON104,forty,Waikato,6,7,2025-07-21
ON126,51,Wellington,5,6,07/01/2025
ON149,52,Auckland,3,5,2025-11-20
ON114,42,Wellington,3,2,13/10/2025
ON064,38,Otago,6,7,02/05/2025
ON049,22,Wellington,5,5,2025-04-05
ON082,61,Auckland,6,8,2025-09-27
ON112,71,Canterbury,4,7,10/09/2025
ON011,49,Wellington,4,5,26/08/2025
ON117,18,Auckland,3,4,2025-07-04
ON172,49,Auckland,6,8,2025-09-11
ON021,,Otago,4,3,2025-11-06
ON108,62,Wellington,4,3,21/06/2025
ON173,32,Wellington,3,5,05/09/2025
ON144,25,Wellington,6,5,2025-03-23
ON174,30,Wellington,7,6,2025-11-22
ON151,45,WAIKATO,4,5,2025-11-01
ON006,45,Otago,7,9,19/07/2025
ON143,32,Wellington,6,5,2025-08-13
ON103,48,Waikato,7,10,2025-02-05
ON159,,Waikato,5,8,06/05/2025
ON145,36,Canterbury,3,3,01/01/2025
ON179,32,Waikato,4,5,24/06/2025
ON068,73,Otago,7,9,01/04/2025
ON152,51,Canterbury,5,5,2025-11-05
ON176,,Waikato,5,5,05/05/2025
ON136,46,Waikato,3,4,2025-03-14
