ID,Age,Region,Score_Before,Score_After,Date
PA041,40,Auckland,6,7,09/02/2025
PA127,39,Auckland,5,8,01/16/2025
PA092,41,Wellington,7,8,07/24/2025
PA001,72,Otago,6,5,03/04/2025
PA106,58,Wellington,6,6,02/09/2025
PA119,45,Auckland,5,6,05/21/2025
PA107,30,Otago,5,6,12/13/2025
PA075,69,Wellington,6,5,05/25/2025
PA055,48,Canterbury,6,9,03/03/2025
PA104,72,Wellington,3,6,07/27/2025
PA049,49,Auckland,3,5,10/05/2025
PA009,79,Auckland,6,5,11/04/2025
PA019,73,Otago,4,4,09/13/2025
PA065,29,Auckland,6,7,03/11/2025
PA059,20,Waikato,4,4,02/05/2025
PA087,49,Waikato,4,6,11/19/2025
PA085,50,Otago,3,4,10/20/2025
PA103,22,Otago,3,4,12/26/2025
PA011,22,Canterbury,5,8,06/02/2025
PA013,24,Wellington,5,5,02/13/2025
PA030,43,Auckland,5,6,01/10/2025
PA005,34,Waikato,4,6,05/25/2025
PA083,28,Wellington,5,8,12/02/2025
PA057,46,Otago,6,8,03/21/2025
PA108,66,Auckland,7,6,12/15/2025
PA034,72,Otago,4,6,09/28/2025
PA086,39,Waikato,3,4,03/08/2025
PA023,75,Otago,6,8,07/02/2025
PA081,24,Wellington,6,7,12/22/2025
PA024,36,Auckland,5,6,03/10/2025
PA056,36,Auckland,5,5,05/10/2025
PA139,35,Wellington,3,4,04/27/2025
PA037,43,Otago,5,4,04/15/2025
PA028,37,Wellington,6,8,07/02/2025
PA079,21,Auckland,7,8,12/10/2025
PA102,30,Otago,7,9,11/19/2025
PA033,32,Waikato,4,7,08/26/2025
PA040,48,Wellington,6,9,10/13/2025
PA077,64,Auckland,7,8,11/25/2025
PA109,77,Wellington,6,8,09/04/2025
PA098,59,Otago,7,6,11/10/2025
PA076,61,Auckland,7,7,08/17/2025
PA070,36,Wellington,7,8,07/02/2025
PA132,79,Canterbury,5,6,02/24/2025
PA124,44,Wellington,3,3,03/01/2025
PA078,62,Otago,6,5,01/03/2025
PA026,27,Wellington,4,6,07/09/2025
PA008,80,Auckland,6,6,12/16/2025
PA112,29,Otago,5,8,06/05/2025
PA067,48,Auckland,6,8,04/10/2025
PA116,50,Wellington,7,10,10/13/2025
PA032,44,Auckland,5,7,05/23/2025
PA090,37,Wellington,7,6,06/19/2025
PA080,78,Wellington,5,7,02/12/2025
PA101,49,Wellington,6,8,08/13/2025
PA015,40,Auckland,4,3,06/27/2025
PA126,26,Otago,3,3,06/15/2025
PA039,70,Waikato,6,8,11/01/2025
PA074,25,Auckland,3,3,04/03/2025
PA031,54,Canterbury,5,7,01/19/2025
PA125,22,Otago,3,5,03/27/2025
PA135,43,Canterbury,6,7,08/03/2025
PA096,31,Wellington,6,7,01/14/2025
