sale_id,date,store,region,category,units,revenue
S1,2025-03-28,Lambton,Wellington,Grocery,2,31.94
S2,2025-04-13,Queen St,Auckland,Grocery,2,584.35
S3,2025-12-10,Queen St,Auckland,Grocery,8,1353.11
S4,2025-04-08,Queen St,Auckland,Electronics,7,1069.95
S5,2025-04-06,Lambton,Wellington,Grocery,11,2124.2
S6,2025-02-23,Riccarton,Canterbury,Apparel,2,363.11
S7,2025-08-27,Riccarton,Canterbury,Electronics,5,1414.75
S8,2025-12-28,Riccarton,Canterbury,Home,8,409.05
S9,2025-10-19,George St,Otago,Grocery,4,770.0
S10,2025-03-19,George St,Otago,Grocery,1,272.99
S11,2025-09-23,George St,Otago,Electronics,12,2858.65
S12,2025-11-09,Hamilton Central,Waikato,Home,2,272.56
S13,2025-09-22,Riccarton,Canterbury,Electronics,2,389.29
S14,2025-01-20,Hamilton Central,Waikato,Apparel,5,475.38
S15,2025-10-17,Lambton,Wellington,Beauty,1,279.85
S16,2025-10-07,Lambton,Wellington,Home,9,882.96
S17,2025-09-26,Hamilton Central,Waikato,Home,12,2802.28
S18,2025-11-23,Lambton,Wellington,Electronics,3,594.05
S19,2025-05-26,Queen St,Auckland,Apparel,9,558.61
S20,2025-06-12,Queen St,Auckland,Electronics,6,486.92
S21,2025-04-02,Hamilton Central,Waikato,Electronics,3,866.67
S22,2025-11-25,Riccarton,Canterbury,Apparel,4,1156.69
S23,2025-03-13,George St,Otago,Home,6,178.56
S24,2025-10-21,George St,Otago,Beauty,6,1455.19
S25,2025-04-27,Lambton,Wellington,Electronics,11,2528.06
S26,2025-12-25,Riccarton,Canterbury,Home,5,104.07
S27,2025-03-22,Riccarton,Canterbury,Beauty,9,282.41
S28,2025-03-20,Riccarton,Canterbury,Grocery,6,1517.59
S29,2025-12-16,Queen St,Auckland,Beauty,4,709.49
S30,2025-08-27,Riccarton,Canterbury,Apparel,11,2217.06
S31,2025-10-22,Riccarton,Canterbury,Electronics,6,1775.94
S32,2025-09-14,Queen St,Auckland,Electronics,5,935.32
S33,2025-06-19,Queen St,Auckland,Beauty,8,650.76
S34,2025-07-19,Riccarton,Canterbury,Home,2,38.2
S35,2025-06-05,Lambton,Wellington,Beauty,7,1254.86
S36,2025-10-05,Lambton,Wellington,Electronics,9,157.01
S37,2025-06-19,Hamilton Central,Waikato,Apparel,1,165.85
S38,2025-06-10,Queen St,Auckland,Beauty,3,730.18
S39,2025-02-27,Riccarton,Canterbury,Home,7,127.84
S40,2025-02-19,Queen St,Auckland,Apparel,9,1719.74
S41,2025-06-19,Hamilton Central,Waikato,Beauty,7,1769.46
S42,2025-08-07,Riccarton,Canterbury,Beauty,2,518.58
S43,2025-06-28,George St,Otago,Electronics,9,2582.27
S44,2025-03-03,Hamilton Central,Waikato,Grocery,8,2180.32
S45,2025-06-05,George St,Otago,Beauty,12,3309.82
S46,2025-08-04,Hamilton Central,Waikato,Beauty,10,2495.53
S47,2025-08-01,Queen St,Auckland,Electronics,5,386.89
S48,2025-11-08,Lambton,Wellington,Apparel,6,1711.6
S49,2025-09-26,Queen St,Auckland,Grocery,12,3409.93
S50,2025-10-10,Queen St,Auckland,Electronics,12,2739.04
S51,2025-04-06,Riccarton,Canterbury,Electronics,11,2563.2
S52,2025-06-10,Lambton,Wellington,Grocery,7,1133.92
S53,2025-06-28,Hamilton Central,Waikato,Apparel,1,75.33
S54,2025-06-25,George St,Otago,Electronics,7,1844.0
S55,2025-09-05,Lambton,Wellington,Home,3,459.38
S56,2025-10-22,Hamilton Central,Waikato,Apparel,5,873.37
S57,2025-07-02,Riccarton,Canterbury,Apparel,7,1410.73
S58,2025-08-27,Hamilton Central,Waikato,Home,9,1366.83
S59,2025-11-04,Hamilton Central,Waikato,Apparel,7,1615.44
S60,2025-04-25,Riccarton,Canterbury,Home,12,2267.28
S61,2025-05-15,Queen St,Auckland,Electronics,10,204.98
S62,2025-07-09,Hamilton Central,Waikato,Home,10,1926.86
S63,2025-05-28,George St,Otago,Grocery,4,431.79
S64,2025-11-14,Lambton,Wellington,Electronics,12,2058.87
S65,2025-08-15,Hamilton Central,Waikato,Electronics,4,628.21
S66,2025-04-06,Hamilton Central,Waikato,Beauty,6,1030.17
S67,2025-02-10,Riccarton,Canterbury,Apparel,12,1385.29
S68,2025-07-13,Hamilton Central,Waikato,Electronics,7,684.21
S69,2025-12-23,Lambton,Wellington,Grocery,2,304.39
S70,2025-03-01,George St,Otago,Electronics,4,1040.25
S71,2025-05-08,Lambton,Wellington,Beauty,5,100.05
S72,2025-11-19,Lambton,Wellington,Electronics,5,1077.96
S73,2025-05-25,Queen St,Auckland,Apparel,11,1598.22
S74,2025-03-27,Queen St,Auckland,Beauty,3,478.27
S75,2025-12-03,Riccarton,Canterbury,Beauty,4,1153.05
