transaction_id,customer_id,order_date,amount
T01348,C0422,2025-03-18,303.96
T00318,C0096,2025-07-14,244.14
T01179,C0361,2025-03-10,24.04
T01658,C0504,2025-03-05,371.65
T00406,C0124,2025-04-07,289.19
T00360,C0108,2025-03-17,354.88
T00424,C0129,2025-08-12,158.39
T00813,C0243,2025-03-02,313.1
T00730,C0224,2025-08-24,71.19
T00419,C0126,2025-11-06,148.13
T01680,C0510,2025-03-01,277.96
T00058,C0015,2025-04-26,291.48
T00714,C0218,2025-02-02,45.33
T01275,C0397,2025-10-23,279.8
T01896,C0574,2025-03-19,175.72
T01453,C0449,2025-03-07,66.94
T00083,C0024,2025-04-15,249.94
T01536,C0473,2025-11-10,246.68
T00061,C0016,2025-06-14,327.21
T00495,C0154,2025-08-20,166.65
T00227,C0068,2025-10-26,15.63
T01561,C0479,2025-04-16,156.02
T01185,C0365,2025-01-18,217.36
T00351,C0106,2025-09-09,262.45
T01631,C0496,2025-08-08,234.83
T01116,C0347,2025-03-16,291.18
T00326,C0098,2025-04-26,210.03
T01320,C0412,2025-08-26,20.78
T00451,C0140,2025-10-21,354.03
T01668,C0506,2025-10-04,191.22
T00541,C0164,2025-10-11,241.28
T01816,C0548,2025-12-28,129.94
T00226,C0067,2025-01-08,142.11
T00277,C0080,2025-11-17,109.55
T01649,C0503,2025-05-24,301.91
T01234,C0381,2025-01-05,128.78
T00888,C0270,2025-10-09,305.57
T01444,C0447,2025-06-03,225.11
T01932,C0585,2025-06-20,118.0
T00356,C0107,2025-04-25,291.01
T01984,C0600,2025-01-06,47.42
T01430,C0444,2025-02-26,338.56
T01823,C0550,2025-08-07,363.94
T01423,C0442,2025-11-22,45.98
T00513,C0157,2025-06-22,125.81
T01115,C0346,2025-05-27,137.33
T00616,C0185,2025-12-21,66.03
T01264,C0392,2025-02-07,392.67
T01674,C0506,2025-05-06,195.53
T01261,C0390,2025-09-20,310.1
T01161,C0356,2025-01-28,207.3
T00263,C0079,2025-08-22,118.4
T00131,C0042,2025-12-22,393.48
T01853,C0560,2025-07-14,300.91
T00320,C0097,2025-02-27,278.35
T00206,C0062,2025-01-22,283.48
T01015,C0315,2025-08-24,162.49
T01368,C0426,2025-05-11,180.17
T01281,C0401,2025-10-04,346.2
T00391,C0119,2025-06-14,286.18
T00667,C0208,2025-12-06,308.94
T01437,C0447,2025-01-18,106.96
T00857,C0258,2025-01-01,248.77
T00853,C0256,2025-05-28,338.41
T00914,C0283,2025-01-09,227.12
T00147,C0046,2025-09-09,37.5
T01137,C0353,2025-07-07,290.33
T00643,C0197,2025-03-05,21.4
T00025,C0007,2025-01-26,268.09
T00777,C0234,2025-01-16,381.24
T01390,C0434,2025-07-17,245.77
T00464,C0145,2025-08-17,287.2
T00052,C0011,2025-05-02,332.31
T01049,C0325,2025-07-27,132.19
T00514,C0157,2025-11-20,50.37
T00692,C0212,2025-01-04,81.22
T01981,C0600,2025-05-24,314.89
T00264,C0079,2025-07-10,273.78
T01331,C0416,2025-08-08,258.91
T01039,C0320,2025-11-27,185.09
T01124,C0350,2025-09-07,180.17
T01657,C0504,2025-08-02,260.65
T00820,C0245,2025-07-06,164.2
T01445,C0447,2025-02-28,87.09
T01283,C0402,2025-04-11,395.07
T00138,C0045,2025-09-08,238.97
T00517,C0159,2025-09-02,53.8
T00155,C0050,2025-12-25,94.32
T01036,C0320,2025-08-03,327.67
T01384,C0432,2025-07-13,216.93
T00082,C0023,2025-06-09,387.87
T01864,C0564,2025-01-01,33.85
T01225,C0378,2025-10-06,92.32
T01697,C0515,2025-07-16,326.48
T00900,C0275,2025-11-07,47.66
T01003,C0312,2025-02-01,262.53
T01294,C0404,2025-03-12,139.62
T01795,C0543,2025-06-06,192.11
T00867,C0261,2025-05-14,114.68
T00009,C0001,2025-06-27,345.94
T01890,C0572,2025-03-16,372.51
T00306,C0093,2025-04-12,318.93
T01840,C0555,2025-05-23,326.25
T00087,C0025,2025-11-18,24.52
T00755,C0229,2025-08-05,208.19
T00941,C0292,2025-08-25,53.37
T01522,C0469,2025-05-09,163.61
T01731,C0526,2025-08-22,398.86
T01813,C0546,2025-08-06,348.36
T01472,C0455,2025-08-16,394.31
T00282,C0083,2025-03-02,109.12
T00908,C0279,2025-12-06,273.14
T01852,C0560,2025-08-03,255.85
T00378,C0113,2025-10-28,142.57
T00738,C0225,2025-09-06,105.93
T01574,C0483,2025-10-13,133.0
T00567,C0170,2025-08-05,244.57
T00615,C0185,2025-09-18,252.59
T00507,C0155,2025-07-01,168.06
T01673,C0506,2025-11-15,256.63
T01686,C0511,2025-05-18,393.26
T00522,C0161,2025-08-19,208.1
T01707,C0519,2025-02-08,306.33
T01722,C0523,2025-03-09,76.55
T01503,C0467,2025-02-02,385.5
T00346,C0103,2025-07-10,360.76
T00063,C0016,2025-02-11,252.99
T01101,C0342,2025-09-17,254.01
T00239,C0071,2025-08-05,158.53
T00598,C0176,2025-06-18,360.13
T01630,C0496,2025-04-18,146.95
T00004,C0001,2025-03-09,269.65
T00812,C0242,2025-11-01,131.46
T01651,C0503,2025-06-04,233.24
T01774,C0539,2025-01-23,300.84
T00646,C0199,2025-12-04,337.05
T01257,C0390,2025-12-21,63.12
T00922,C0286,2025-04-14,233.49
T00783,C0235,2025-03-08,284.26
T00135,C0044,2025-10-18,159.62
T01020,C0316,2025-01-26,122.06
T00471,C0147,2025-04-11,373.93
T01291,C0404,2025-08-04,271.96
T00128,C0040,2025-05-19,339.86
T01783,C0540,2025-12-18,114.61
T01838,C0555,2025-10-11,329.59
T01247,C0387,2025-01-19,322.13
T01272,C0394,2025-12-26,38.24
T01285,C0403,2025-04-27,162.93
T00569,C0170,2025-04-06,157.91
T01844,C0555,2025-05-27,106.75
T00109,C0034,2025-03-16,71.47
T01140,C0354,2025-06-21,48.45
T00312,C0095,2025-08-28,345.07
T01883,C0571,2025-11-21,222.08
T01959,C0596,2025-07-22,395.28
T01402,C0437,2025-11-18,39.84
T01382,C0431,2025-10-14,58.96
T00837,C0251,2025-04-11,49.19
T01125,C0350,2025-03-12,121.57
T00707,C0214,2025-04-18,319.55
T00211,C0062,2025-09-03,178.67
T00987,C0306,2025-01-03,168.21
T01205,C0373,2025-09-02,31.87
T00020,C0005,2025-11-05,325.43
T01449,C0448,2025-01-21,227.29
T01905,C0577,2025-06-04,371.35
T01593,C0487,2025-04-25,250.55
T01945,C0591,2025-08-11,51.01
T00925,C0286,2025-09-10,215.6
T01606,C0492,2025-07-25,102.82
T00810,C0242,2025-02-17,206.2
T00559,C0167,2025-02-15,361.8
T00685,C0211,2025-10-14,283.51
T01734,C0527,2025-11-02,181.8
T01244,C0385,2025-03-14,184.35
T00400,C0123,2025-01-28,319.68
T01679,C0509,2025-08-02,263.3
T00614,C0185,2025-04-16,134.57
T01916,C0580,2025-01-22,255.96
T00771,C0232,2025-11-09,389.74
T00585,C0175,2025-02-11,288.14
T00361,C0108,2025-03-10,276.37
T01224,C0378,2025-04-15,199.98
T01821,C0550,2025-10-17,197.76
T00842,C0253,2025-06-05,156.83
T00866,C0261,2025-06-27,192.23
T00491,C0153,2025-01-07,136.84
T00479,C0149,2025-11-22,202.21
T01149,C0355,2025-08-25,330.02
T00313,C0095,2025-07-01,78.74
T00901,C0275,2025-10-10,275.23
T00177,C0055,2025-10-03,389.26
T00259,C0079,2025-07-25,274.68
T00223,C0067,2025-02-28,208.03
T00404,C0123,2025-08-14,192.8
T01575,C0483,2025-12-19,214.71
T01758,C0530,2025-12-14,379.41
T00139,C0045,2025-06-17,150.72
T01403,C0437,2025-07-27,323.32
T00436,C0134,2025-07-07,85.46
T00611,C0183,2025-01-07,236.71
T01743,C0529,2025-06-04,338.58
T00194,C0057,2025-04-14,71.83
T00605,C0180,2025-09-23,337.9
T00353,C0107,2025-11-18,219.53
T01220,C0377,2025-07-26,214.0
T01425,C0442,2025-12-04,131.53
T00196,C0057,2025-04-23,61.66
T00626,C0192,2025-12-19,174.15
T00442,C0136,2025-06-20,21.57
T00334,C0100,2025-06-10,158.61
T00297,C0089,2025-09-24,308.73
T01903,C0576,2025-03-25,399.74
T01014,C0314,2025-08-22,322.13
T00850,C0254,2025-10-26,236.85
T00683,C0211,2025-05-06,95.72
T00726,C0224,2025-08-02,20.71
T00501,C0155,2025-02-01,33.24
T00006,C0001,2025-11-17,119.16
T00954,C0296,2025-06-09,355.63
T01212,C0376,2025-03-20,140.14
T00825,C0247,2025-08-23,386.32
T00589,C0176,2025-07-18,109.65
T01175,C0359,2025-07-16,252.65
T01669,C0506,2025-11-15,60.04
T01292,C0404,2025-09-04,289.81
T00988,C0306,2025-03-14,228.28
T01520,C0469,2025-05-11,345.33
T01476,C0456,2025-04-22,88.84
T00570,C0170,2025-03-05,275.23
T00293,C0086,2025-07-28,135.12
T00928,C0288,2025-09-01,309.9
T01708,C0520,2025-06-04,87.79
T00563,C0168,2025-12-02,20.43
T00967,C0299,2025-04-16,239.49
T00779,C0234,2025-02-27,208.49
T01616,C0493,2025-04-26,24.45
T00841,C0253,2025-04-04,178.47
T00937,C0292,2025-10-25,174.65
T00447,C0138,2025-08-02,301.42
T01346,C0421,2025-11-01,301.77
T00817,C0244,2025-02-23,305.59
T01567,C0481,2025-08-03,287.27
T01635,C0496,2025-04-10,339.62
T01002,C0311,2025-02-16,244.21
T01979,C0600,2025-01-11,229.33
T00086,C0025,2025-01-25,292.62
T00003,C0001,2025-05-24,294.96
T01834,C0553,2025-07-25,341.81
T00245,C0074,2025-09-17,355.08
T01874,C0567,2025-09-13,202.71
T00027,C0007,2025-06-07,204.46
T01833,C0553,2025-06-15,290.75
T00767,C0230,2025-03-18,379.8
T00943,C0293,2025-04-27,106.35
T01619,C0493,2025-02-11,383.97
T01710,C0520,2025-10-08,319.65
T00232,C0069,2025-08-28,287.25
T01415,C0440,2025-10-04,277.87
T00233,C0069,2025-12-06,229.64
T00599,C0177,2025-12-26,300.65
T01435,C0446,2025-08-21,112.0
T00673,C0208,2025-04-26,20.16
T00336,C0100,2025-08-13,177.63
T01160,C0356,2025-02-20,375.17
T00359,C0108,2025-11-12,234.11
T00347,C0103,2025-04-02,167.08
T00022,C0005,2025-07-14,40.91
T00385,C0117,2025-03-01,195.18
T01278,C0399,2025-08-08,224.46
T01327,C0414,2025-07-08,240.49
T01803,C0546,2025-08-17,195.3
T00012,C0001,2025-08-01,190.25
T00323,C0097,2025-11-14,71.04
T01189,C0367,2025-12-04,56.4
T00933,C0291,2025-04-23,201.83
T00433,C0133,2025-12-13,135.94
T01248,C0387,2025-11-26,27.46
T00764,C0230,2025-08-08,136.14
T00715,C0219,2025-11-03,168.84
T01111,C0345,2025-03-03,277.77
T00587,C0176,2025-06-02,169.28
T00680,C0211,2025-01-17,85.42
T01455,C0449,2025-10-09,348.42
T01767,C0536,2025-04-04,221.22
T00623,C0189,2025-07-13,99.51
T01357,C0425,2025-05-03,322.47
T00809,C0242,2025-11-03,49.8
T00307,C0093,2025-01-15,217.73
T01608,C0493,2025-12-23,140.78
T01566,C0481,2025-06-11,98.06
T00278,C0081,2025-04-19,132.23
T00298,C0089,2025-02-08,138.23
T00681,C0211,2025-11-01,248.39
T01701,C0516,2025-01-08,331.26
T01317,C0411,2025-06-13,24.81
T00280,C0083,2025-12-23,359.29
