month,sales
2023-01,10122.27
2023-02,10445.38
2023-03,9838.51
2023-04,10178.72
2023-05,11238.67
2023-06,11001.14
2023-07,10276.69
2023-08,10700.64
2023-09,11674.32
2023-10,12307.24
2023-11,12887.73
2023-12,13389.76
2024-01,12909.7
2024-02,11699.25
2024-03,12261.08
2024-04,13048.19
2024-05,12595.1
2024-06,12162.55
2024-07,13178.64
2024-08,13434.21
2024-09,13742.89
2024-10,14747.94
2024-11,15589.9
2024-12,16865.72
2025-01,14805.84
2025-02,14654.72
2025-03,15171.58
2025-04,14654.3
2025-05,15101.61
2025-06,14997.79
2025-07,15304.55
2025-08,15333.42
2025-09,16788.94
2025-10,17175.62
2025-11,17361.92
2025-12,18654.92
